Title,Author,Average Rating,Rating,Year Published,Edition
The Making of a Story: A Norton Guide to Writing Fiction and Nonfiction,Alice LaPlante,4.23,"1,131",2009,17
Macho Sluts: Erotic Fiction,Patrick Califia-Rice,4.01,751,1988,10
The Heroine's Labyrinth: Archetypal Designs in Heroine-Led Fiction,Douglas A. Burton,5.00,3,0,2
On Moral Fiction,John Gardner,3.84,801,1978,19
Fiction Ruined My Family: A Memoir,Jeanne Darst,3.38,"1,292",2011,10
The Rediscovery of Man: The Complete Short Science Fiction of Cordwainer Smith,Cordwainer Smith,4.36,"1,174",1993,11
New Suns 2: Original Speculative Fiction by People of Color,Nisi Shawl,4.12,100,2023,4
A Vain and Indecent Woman (Classic Historical Fiction Book 8),Colin Falconer,4.15,888,0,3
Plotting and Writing Suspense Fiction,Patricia Highsmith,3.78,"1,495",1966,55
Until We Reach Home:,Lynn Austin,4.28,"6,519",2008,28
The Name on the List,Orly Krauss-Winer,4.21,795,2021,3
Low Key Fallin' For A Savage 3: An African American Women's Fiction: Finale,J. Dominique,4.74,789,0,2
Making Shapely Fiction,Jerome Stern,3.98,"1,136",1991,11
"Deadly Anniversaries: A Collection of Stories from Crime Fiction's Top Authors (Mystery Writers of America Series, 1)",Marcia Muller,3.82,686,2020,10
God: The Most Unpleasant Character in All Fiction,Dan   Barker,3.91,753,2016,8
Virtual Unrealities: The Short Fiction of Alfred Bester,Alfred Bester,3.97,"1,039",1997,8
Kaleidoscope: Diverse YA Science Fiction and Fantasy Stories,Alisa Krasnostein,3.94,555,2014,4
The Secrets of Story: Innovative Tools for Perfecting Your Fiction and Captivating Readers,Matt Bird,4.42,889,2016,9
Enemy In Sight: A World War 3 Techno-Thriller Action Event (Nick Ryan's World War 3 Military Fiction Technothrillers),Nick Ryan,4.46,"1,387",0,2
Seven Seasons of Buffy: Science Fiction & Fantasy Writers Discuss Their Favorite Television Show,Glenn Yeffeth,4.11,"1,316",2003,5
The Mortal Immortal: The Complete Supernatural Short Fiction of Mary Shelley,Mary Wollstonecraft Shelley,3.73,"1,866",1831,72
The Collection: Short Fiction from the Transgender Vanguard,Tom Léger,4.03,379,2012,5
Essays and Fictions,Brad Phillips,4.43,879,2019,3
Super Short Stories: Flash Fiction,Mark C Wallfisch,3.76,17,0,2
"GMC: Goal, Motivation and Conflict: The Building Blocks of Good Fiction",Debra Dixon,4.44,"1,195",1999,4
The Strangeness of Beauty (Norton Paperback Fiction),Lydia Minatoya,3.82,698,1999,5
Plot Fiction like the Masters,Terry Richard Bazes,4.10,30,2015,3
Archangel: Fiction,Andrea Barrett,3.75,737,2013,8
"On the Origin of Stories: Evolution, Cognition, and Fiction",Brian Boyd,3.84,421,2009,10
The Pulse Super Boxset: EMP Post Apocalyptic Fiction,Alexandria Clarke,4.20,563,0,2
The Strangeness of Beauty (Norton Paperback Fiction),Lydia Minatoya,3.82,698,1999,5
Courage on the Oregon Trail: Books 1 - 6 : Women's Fiction Historical Saga Box Set,A.T. Butler,4.50,270,0,1
Couch Fiction: A Graphic Tale of Psychotherapy,Philippa Perry,3.98,"1,362",2010,3
Worlds Enough & Time: Five Tales of Speculative Fiction,Dan Simmons,3.75,"1,427",2002,14
Elements of Fiction,Walter Mosley,3.78,510,2019,11
"Sweet Romantic Fiction Editors’ Choice Christmas Collection, Vol 4",Susan Lyttek,3.86,7,0,1
Elements of Fiction,Walter Mosley,3.78,510,2019,11
