Title,Author,Average Rating,Rating,Year Published,Edition
Fort Suicide: A World War 3 Techno-Thriller Action Event (Nick Ryan's World War 3 Military Fiction Technothrillers),Nick Ryan,4.48,"1,046",0,1
"An Anthology of Graphic Fiction, Cartoons, and True Stories (Anthology of Graphic Fiction, Cartoons, & True Stories, Volume 1)",Ivan Brunetti,4.00,877,2006,5
Strong Verbs for Fiction Writers (Indie Author Resources Book 2),Valerie   Howard,4.13,347,0,3
The Illuminati: Facts & Fiction,Mark Dice,3.80,469,2009,5
Stream System: The Collected Short Fiction of Gerald Murnane,Gerald Murnane,4.00,275,2018,10
Fifty Degrees South: A first contact military science fiction adventure thriller (The Burns Series Book 1),M.M. Holt,3.84,676,0,2
A Bridge to Wiseman's Cove,James Moloney,3.09,"1,282",1996,8
"Monkeys, Myths, and Molecules: Separating Fact from Fiction, and the Science of Everyday Life",Joe Schwarcz,3.63,282,2015,8
Never Whistle at Night: An Indigenous Dark Fiction Anthology,Shane Hawk,4.04,"7,859",2023,10
Sour Grapes & Balmy Knight,Muriel Ellis Pritchett,4.59,37,0,4
"The Early Ayn Rand: A Selection from Her Unpublished Fiction (The Ayn Rand Library, Vol. 2)",Ayn Rand,3.80,"1,000",1984,20
How to Write Best Selling Fiction,Dean Koontz,4.02,214,1972,6
The Art of Time in Fiction: As Long as It Takes,Joan Silber,3.88,658,2009,1
They Kept Running (Volume 20) (Katherine Anne Porter Prize in Short Fiction),Michelle   Ross,4.82,11,0,3
The Art of Time in Fiction: As Long as It Takes,Joan Silber,3.88,658,2009,1
Fiction and the Figures of Life,William H. Gass,4.08,312,1979,13
The Norton Anthology of Short Fiction: Seventh Edition,Richard Bausch,4.26,748,1978,18
True stories: Selected non-fiction,Helen Garner,4.13,"1,153",1996,14
The 38 Most Common Fiction Writing Mistakes,Jack M. Bickham,3.78,"1,008",1992,12
The Mammoth Book of Extreme Science Fiction,Mike Ashley,3.87,739,2006,9
The Woman from Tantoura: A Palestinian Novel,Radwa Ashour,4.36,"26,875",2010,23
A Colder War,Charles Stross,4.15,"1,035",2000,6
Manuscript Makeover: Revision Techniques No Fiction Writer Can Afford to Ignore,Elizabeth Lyon,4.17,453,2008,10
High Stakes Crime: A Paranormal Women's Fiction Novel (Shelby Nichols Adventure Book 15),Colleen Helme,4.70,"1,058",2021,3
A Colder War,Charles Stross,4.15,"1,035",2000,6
Grant Us Mercy: Installment One: Post-Apocalyptic Survival Fiction,D.C. Little,4.35,536,0,1
The Fourth Science Fiction Megapack,John Gregory Betancourt,3.82,789,2012,3
High Stakes Crime: A Paranormal Women's Fiction Novel (Shelby Nichols Adventure Book 15),Colleen Helme,4.70,"1,058",2021,3
When The Skies Cry: Heartwarming Dog Fiction,Steve N. Lee,4.50,787,0,5
"Lightspeed Magazine, Issue 49, June 2014: Women Destroy Science Fiction!",Christie Yant,4.04,786,2014,1
The Best of Gene Wolfe: A Definitive Retrospective of His Finest Short Fiction,Gene Wolfe,4.24,685,2009,9
The Elevator (Steeple Hill Women's Fiction #46),Angela Elwell Hunt,3.80,"1,120",2007,22
The German Dressmaker: A WWII Historical Novel (World War II Brave Women Fiction Book 6),Susan Shalev,4.51,796,0,3
"The Last Sin Eater: A Novel (A Captivating Historical Christian Fiction Story of Suffering, Seeking, and Redemption Set in Appalachia in the 1850s)",Francine Rivers,4.10,"30,969",1998,51
The Door: Science Fiction Mystery,Tony Harmsworth,3.79,664,2019,2
The First Science Fiction Megapack: 25 Modern and Classic Science Fiction Tales,Robert Silverberg,3.63,"1,219",2013,4
Story-Wallah: Short Fiction from South Asian Writers,Shyam Selvadurai,3.91,327,2004,7
"Nevertheless, She Persisted: Flash Fiction Project",Diana M. Pho,3.64,773,2020,2
"Bodyminds Reimagined: (Dis)ability, Race, and Gender in Black Women’s Speculative Fiction",Sami Schalk,4.62,177,2018,6
Free Science Fiction Books On Kindle: Linked List of over 350 Free SciFi  Classic Stories And Early Fantasy Novels,Morris Rosenthal,3.31,367,2011,1
Yakima Henry: Volume Three: A Classic Western Fiction Series,Peter Brandvold,4.46,795,0,1
Make It So: Interaction Design Lessons From Science Fiction,Nathan Shedroff,3.88,314,2012,5
The Best American Science Fiction and Fantasy 2018,N.K. Jemisin,3.83,727,2018,3
The Scribner Anthology of Contemporary Short Fiction: Fifty North American Stories Since 1970,Lex Williford,4.10,"1,204",1999,16
Yakima Henry: Volume Three: A Classic Western Fiction Series,Peter Brandvold,4.46,795,0,1
Story-Wallah: Short Fiction from South Asian Writers,Shyam Selvadurai,3.91,327,2004,7
The Best American Science Fiction and Fantasy 2018,N.K. Jemisin,3.83,727,2018,3
How Great Science Fiction Works,Gary K. Wolfe,4.14,970,2016,9
Writing Irresistible KidLit: The Ultimate Guide to Crafting Fiction for Young Adult and Middle Grade Readers,Mary   Kole,4.50,737,2012,5
Western Fiction Ten Pack: Ten Full-Length Classic Westerns,Robert Vaughan,4.28,702,0,1
A Convergence of Birds: Original Fiction and Poetry Inspired by Joseph Cornell,Jonathan Safran Foer,3.79,397,2001,6
Ship of Prophecy: The Complete 10-Book Military Science Fiction Box Set,Scott Bartlett,4.35,317,0,1
7 Figure Fiction: How to Use Universal Fantasy to Sell Your Books to Anyone,T.    Taylor,4.43,823,0,4
The Country of the Blind and Other Science-Fiction Stories,H.G. Wells,3.92,"1,223",1911,57
Bagombo Snuff Box: Uncollected Short Fiction,Kurt Vonnegut Jr.,3.73,"10,549",1999,57
"White Flights: Race, Fiction, and the American Imagination",Jess Row,4.00,161,2019,3
A Convergence of Birds: Original Fiction and Poetry Inspired by Joseph Cornell,Jonathan Safran Foer,3.79,397,2001,6
Immediate Fiction: A Complete Writing Course,Jerry Cleaver,4.13,745,2002,13
Ship of Prophecy: The Complete 10-Book Military Science Fiction Box Set,Scott Bartlett,4.35,317,0,1
"Medieval Underpants and Other Blunders: A Writer's (and Editor's) Guide to Keeping Historical Fiction Free of Common Anachronisms, Errors, and Myths",Susanne Alleyn,3.94,568,2012,7
Echo Tree: The Collected Short Fiction of Henry Dumas (Black Arts Movement Series),Henry Dumas,4.21,150,2003,11
Side by Side (Inanna Poetry & Fiction Series),Anita Kushwaha,4.19,31,0,4
"Spies, Lies & Red Tape: A Spy-Military-Political Fiction Thriller based on the Indian Subcontinent",Amit Bagaria,4.39,"1,484",0,2
Coffee House Lies: 100 Cups of Flash fiction,Carly Berg,3.94,81,2014,3
"Surrender at Orchard Rest (Orchard Rest Historical Southern Fiction, #1)",Hope Denney,3.82,504,2014,2
Witch on the Cusp: Midlife Spirit Guides Paranormal Women's Fiction,Wendy Wang,4.55,685,0,1
The Eighth Continent: A Hard Science Fiction Thriller,Rhett C. Bruno,4.07,659,0,3
Coffee House Lies: 100 Cups of Flash fiction,Carly Berg,3.94,81,2014,3
The Bleeding of the Stone,Ibrahim al-Koni,3.90,"1,439",1990,20
Side by Side (Inanna Poetry & Fiction Series),Anita Kushwaha,4.19,31,0,4
"Fiction Can Be Murder (Mystery Writer's Mysteries, #1)",Becky Clark,3.55,526,2018,8
Piercehaven (Piercehaven Christian Fiction Trilogy Book 1),Robin Merrill,4.33,512,2017,5
My Name Is Vittoria: A WW2 Historical Novel Based on a True Story of a Jewish Holocaust Survivor (World War II Brave Women Fiction Book 10),Dafna Vitale Ben Bassat,4.09,"2,582",2016,8
It Came from the North: An Anthology of Finnish Speculative Fiction,Desirina Boskovich,3.65,240,2013,1
It Came from the North: An Anthology of Finnish Speculative Fiction,Desirina Boskovich,3.65,240,2013,1
Pacific Grit: A WWII Military Fiction Novel (Decker's Marine Raiders Series Book 3),Scott Cook,4.40,940,0,1
My Name Is Vittoria: A WW2 Historical Novel Based on a True Story of a Jewish Holocaust Survivor (World War II Brave Women Fiction Book 10),Dafna Vitale Ben Bassat,4.09,"2,582",2016,8
The Wesleyan Anthology of Science Fiction,Arthur B. Evans,4.42,504,2010,4
NeuroScience Fiction,Rodrigo Quian Quiroga,4.07,67,0,7
Incantations & Insomnia: A Paranormal Women's Fiction Novel (The Oracle of Wynter Book 5),Lisa Manifold,4.59,738,0,1
The Collected Short Fiction by Thomas Ligotti,Thomas Ligotti,4.51,115,0,1
Red and Ricko : A Dope Boy Original: A Urban Fiction Romance,J. Dominique,4.61,366,0,1
Stars Across Time: (A Science Fiction Romance Novel),Ruby Lionsdrake,3.74,842,2015,7
Lords of Dyscrasia,S.E. Lindberg,3.66,62,2011,5
The Collected Short Stories (Norton Paperback Fiction),Jean Rhys,4.04,530,1987,15
The Lie That Tells a Truth: A Guide to Writing Fiction,John Dufresne,4.04,572,2003,13
Lords of Dyscrasia,S.E. Lindberg,3.66,62,2011,5
Molly of the Mall: Literary Lass & Purveyor of Fine Footwear,Heidi L.M. Jacobs,3.93,458,0,4
The Dreams Our Stuff is Made Of: How Science Fiction Conquered the World,Thomas M. Disch,3.77,503,1998,9
First Person Fiction: Call Me Maria,Judith Ortiz Cofer,3.78,468,2004,7
The Girl From Saint Petersburg (An Industrial Historical Fiction Series Book 1),Joyana Peters,4.18,170,2022,3
A Dangerous Fiction: A Mystery,Barbara Rogan,3.77,456,2013,6
The Oxford Book of Science Fiction Stories,Tom Shippey,4.12,465,1992,12
"My Less Than Secret Life: A Diary, Fiction, Essays",Jonathan Ames,3.97,773,2002,5
Lords of Dyscrasia,S.E. Lindberg,3.66,62,2011,5
Writing Fight Scenes: Professional Techniques for Fiction Authors (Writer's Craft Book 1),Rayne Hall,4.11,504,2011,7
Plot Versus Character: A Balanced Approach to Writing Great Fiction,Jeff Gerke,4.17,464,2010,10
"It Came From... The Stories and Novels Behind Classic Horror, Fantasy and Science Fiction Films",Jim  Nemeth,4.08,26,2020,1
The Essential Clive Barker: Selected Fiction,Clive Barker,4.16,647,1999,2
Fires,Marguerite Yourcenar,4.08,"1,263",1936,56
The Encyclopedia of Science Fiction,John Clute,4.35,602,1993,5
Mr. Sampath--the Printer of Malgudi,R.K. Narayan,3.81,"1,128",1949,34
How to Write a Dynamite Scene Using the Snowflake Method (Advanced Fiction Writing Book 2),Randy Ingermanson,4.32,550,2018,4
The Best American Science Fiction and Fantasy 2019,Carmen Maria Machado,3.94,616,2019,3
The Encyclopedia of Science Fiction,John Clute,4.35,602,1993,5
Kapuściński non-fiction,Artur Domosławski,4.06,916,2010,34
The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,3.90,701,2010,13
True Letters from a Fictional Life,Kenneth Logan,3.95,"2,993",2016,1
AfroSF: Science Fiction by African Writers,Ivor W. Hartmann,3.92,279,2012,3
The Best American Science Fiction and Fantasy 2019,Carmen Maria Machado,3.94,616,2019,3
"A Poetics of Postmodernism: History, Theory, Fiction",Linda Hutcheon,3.95,422,1988,14
"Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus, Mary Magdalene & Constantine",Bart D. Ehrman,3.68,922,2004,1
Writing Fight Scenes: Professional Techniques for Fiction Authors (Writer's Craft Book 1),Rayne Hall,4.11,504,2011,7
Lights Out: EMP Post Apocalyptic Fiction Super Boxset,Roger Hayden,3.95,519,0,1
"Art Boss: (Young Adult Fiction, Aspiring Artist Story, Novel for Teens)",Kayla Cagan,3.65,218,2018,3
How to Write a Dynamite Scene Using the Snowflake Method (Advanced Fiction Writing Book 2),Randy Ingermanson,4.32,550,2018,4
An O'Mara's Reunion The Guesthouse on the Green Series (Book 13): O'Mara family feel good fiction,Michelle Vernal,4.62,968,0,4
Spring Fire,Vin Packer,3.16,380,1952,23
Alien Sex: 19 Tales by the Masters of Science Fiction and Dark Fantasy,Ellen Datlow,3.43,769,1990,17
Accessing the Future: A Disability-Themed Anthology of Speculative Fiction,Kathryn Allan,4.08,206,2015,4
Fury: Book 1: Live For Me,Colin Falconer,4.31,"1,568",1991,10
"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers (Now Write! Series)",Laurie Lamson,3.86,294,2014,5
Loosed upon the World: The Saga Anthology of Climate Fiction,John Joseph Adams,3.68,319,2015,6
The Stone of Laughter,Hoda Barakat,3.43,386,1990,14
Witch in Eclipse: Midlife Spirit Guides Paranormal Women's Fiction,Wendy Wang,4.52,689,0,1
Remember Why You Fear Me: The Best Dark Fiction of Robert Shearman,Robert Shearman,4.03,342,2012,10
Sula,Toni Morrison,4.03,"99,016",1973,110
I Am Crying All Inside: And Other Stories (The Complete Short Fiction of Clifford D. Simak Book 1),Clifford D. Simak,4.19,591,2015,6
The Neutrinos Are Coming and Other Stories: Science Fiction Omnibus,Dinker Charak,4.60,5,0,1
Crime Fiction: Private Eye Thriller,B.A. Savage,3.33,447,0,1
A Common Person and Other Stories,R.M. Kinder,4.35,17,0,3
"Sugar Beach Sunsets: Romantic Women's Fiction (Cliffside Point, 3)",Ellen Joy,4.64,498,0,2
Dictionary Stories: Short Fictions and Other Findings,Jez Burrows,3.70,269,2018,3
Hint Fiction: An Anthology of Stories in 25 Words or Fewer,Robert Swartwood,3.84,734,2010,4
Plus or Minus Forever: Stories of Speculative Fiction,Kate Dane,3.83,6,0,2
I Am Crying All Inside: And Other Stories (The Complete Short Fiction of Clifford D. Simak Book 1),Clifford D. Simak,4.19,591,2015,6
"Will Write for Food: The Complete Guide to Writing Cookbooks, Restaurant Reviews, Articles, Memoir, Fiction and More",Dianne Jacob,3.97,979,2005,21
A Common Person and Other Stories,R.M. Kinder,4.35,17,0,3
The World Treasury of Science Fiction,David G. Hartwell,4.12,398,1989,13
"The Good Story: Exchanges on Truth, Fiction and Psychotherapy",J.M. Coetzee,3.59,410,2015,34
Lost Highways: Dark Fictions From the Road,D. Alexander Ward,3.91,246,2018,2
Dictionary Stories: Short Fictions and Other Findings,Jez Burrows,3.70,269,2018,3
The Best American Science Fiction and Fantasy 2017,Charles Yu,3.76,667,2017,3
Remember Why You Fear Me: The Best Dark Fiction of Robert Shearman,Robert Shearman,4.03,342,2012,10
The Best American Science Fiction and Fantasy 2017,Charles Yu,3.76,667,2017,3
What About the Baby?: Some Thoughts on the Art of Fiction,Alice McDermott,4.25,299,2021,1
"Tamora Pierce: ""The Immortals""",John Lennard,4.68,"1,061",2007,4
The Best American Science Fiction and Fantasy 2020,Diana Gabaldon,3.73,807,2020,9
Lost Highways: Dark Fictions From the Road,D. Alexander Ward,3.91,246,2018,2
The Occult Persuasion and the Anarchist's Solution (Inanna Poetry & Fiction Series),Lisa de Nikolits,4.41,34,0,3
F. Scott Fitzgerald's All Time Bestseller Action Classic Fiction: The Best Works of a Literary Legend,F. Scott Fitzgerald,3.93,"5,242,917",1925,5392
"Lesbian Pulp Fiction: The Sexually Intrepid World of Lesbian Paperback Novels, 1950-1965",Katherine V. Forrest,3.80,257,2005,5
Midnight Wings: A Science Fiction Retelling of Cinderella. (Rove City Book 1),Ariele Sieling,4.11,469,2019,2
Where's My Jetpack?: A Guide to the Amazing Science Fiction Future That Never Arrived,Daniel H. Wilson,3.41,668,2007,18
Where's My Jetpack?: A Guide to the Amazing Science Fiction Future That Never Arrived,Daniel H. Wilson,3.41,668,2007,18
Darkest Before Dawn: The compelling and spellbinding historical fiction novel from the Sunday Times bestselling author,Katie Flynn,4.29,"1,224",2005,11
Midnight Wings: A Science Fiction Retelling of Cinderella. (Rove City Book 1),Ariele Sieling,4.11,469,2019,2
The Occult Persuasion and the Anarchist's Solution (Inanna Poetry & Fiction Series),Lisa de Nikolits,4.41,34,0,3
Deadlier than Fiction (Bunburry #9),Helena Marchmont,4.21,828,2020,2
The Cambridge Companion to Science Fiction,Edward  James,3.97,340,2003,17
How To Write Non-Fiction: Turn Your Knowledge Into Words (Writing Craft Books),Joanna Penn,4.22,420,2018,6
Pup Fiction,Laurien Berenson,4.22,776,0,7
Leena Krohn: Collected Fiction,Leena Krohn,4.24,103,2015,4
The Book of Gaza: A City in Short Fiction,Atef Abu Saif,3.72,224,2014,9
"Small Magic: Short Fiction, 1977-2020",Terry Brooks,4.23,560,2021,10
On Writing Well: The Classic Guide to Writing Non-Fiction,William Zinsser,4.24,"28,330",1976,111
Going For a Beer: Selected Short Fictions,Robert Coover,3.87,465,2018,11
Deadlier than Fiction (Bunburry #9),Helena Marchmont,4.21,828,2020,2
The Book of Gaza: A City in Short Fiction,Atef Abu Saif,3.72,224,2014,9
Stone Lake,Phil M. Williams,4.48,598,2015,2
The Last London: True Fictions from an Unreal City,Iain Sinclair,3.47,252,2017,10
"The Idea: The Seven Elements of a Viable Story for Screen, Stage or Fiction",Erik Bork,4.26,485,2018,5
"The Collected Fantasies, Vol. 4: The Long Tomorrow and Other Science Fiction Stories (The Collected Fantasies of Jean Giraud, #4)",Jean Giraud,4.17,722,1988,15
The Time Travel MEGAPACK ®: 26 Modern and Classic Science Fiction Stories,Edward M. Lerner,3.68,607,2013,2
Worlds of Wonder: How to Write Science Fiction & Fantasy,David Gerrold,3.93,482,2001,6
Five Island Cove Boxed Set: Three Heartfelt Women's Fiction Novels,Jessie Newton,4.53,337,0,1
Echoes of War: Books 1-3,Daniel  Gibbs,4.30,355,0,1
"The Collected Fantasies, Vol. 4: The Long Tomorrow and Other Science Fiction Stories (The Collected Fantasies of Jean Giraud, #4)",Jean Giraud,4.17,722,1988,15
"DECADES (Park Avenue Series, Book #1): 20th Century Historical Women's Fiction",Ruth  Harris,3.48,659,1974,17
Jeffrey Archer: Stranger than Fiction,Michael Crick,4.00,481,1995,6
Going For a Beer: Selected Short Fictions,Robert Coover,3.87,465,2018,11
A Book on the Table:  Flash Fiction,Celeste Ng,3.77,84,2018,1
The Best Science Fiction of the Year: Volume One,Neil Clarke,3.71,364,2016,7
The Time Travel MEGAPACK ®: 26 Modern and Classic Science Fiction Stories,Edward M. Lerner,3.68,607,2013,2
How to Write Pulp Fiction,James Scott Bell,4.20,625,0,2
Going For a Beer: Selected Short Fictions,Robert Coover,3.87,465,2018,11
A Book on the Table:  Flash Fiction,Celeste Ng,3.77,84,2018,1
Tomorrow's Children: 18 Tales of Fantasy and Science Fiction,Isaac Asimov,4.15,594,1966,6
The Silver Sphere Trilogy: A Science-Fiction Adventure,David Gittlin,4.18,34,2022,1
Stone Lake,Phil M. Williams,4.48,598,2015,2
"Home on the Harbor: Romantic Women's Fiction (Cliffside Point, 4)",Ellen Joy,4.60,462,0,2
Storming the Reality Studio: A Casebook of Cyberpunk & Postmodern Science Fiction,Larry McCaffery,4.04,276,1991,9
Solar Plexus: A Dystopian EMP Post-Apocalyptic Fiction Novel,Victor Zugg,4.21,555,0,2
"Black Like Us: A Century of Lesbian, Gay, and Bisexual African American Fiction",Devon W. Carbado,4.37,171,2002,7
The Knife-Edge Path,Patrick T. Leahy,3.75,270,0,2
Science Fiction and Philosophy: From Time Travel to Superintelligence,Susan   Schneider,3.80,274,2009,4
"Black Like Us: A Century of Lesbian, Gay, and Bisexual African American Fiction",Devon W. Carbado,4.37,171,2002,7
Transcendent: The Year's Best Transgender Speculative Fiction,K.M. Szpara,4.04,186,2016,3
A Loud Winter's Nap (Fiction Picture Books),Katy Hudson,3.93,971,2017,14
Fear Itself: The Horror Fiction of Stephen King,Chuck       Miller,3.88,310,1982,2
Micro Fiction: An Anthology of Fifty Really Short Stories,Jerome Stern,3.74,713,1996,10
"Frankenstein or, the modern prometheus by Mary Shelley (Illustrated): SCIENCE FICTION, horror books, western horror books, CLASSIC LITERATURE, victor frankenst",Katherine Newey,3.95,553,1993,2
